, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,0DPQ41,CLEMSON INSURANCE INC,"CENTRAL, SC",918,226,338,144.9%,98.6%,60.0%,"$372,461",47,138,"$167,159",387,47,138,156.0%,"$167,159"
3,0DPQ45,KUTNEY INSURANCE AGENCY,"WILLIAMSPORT, PA",523,26,124,1.6%,81.1%,20.8%,"$119,621",19,122,"$112,516",310,19,122,16.1%,"$112,516"
4,0DPQ66,URBANIA INS AGENCY INC,"MENTOR, OH",145,14,44,29.4%,88.2%,90.6%,"$40,739",16,34,"$28,119",137,16,34,39.7%,"$28,119"
5,0DPQ77,AYRES BRACKFIELD INS,"KNOXVILLE, TN",737,272,347,194.1%,87.3%,21.9%,"$271,803",125,118,"$87,173",451,125,118,0.0%,"$87,173"
6,0DPQ98,NAPOLES INS SERVICES LLC,"DAYTON, OH",338,34,58,70.6%,82.4%,53.0%,"$48,377",22,34,"$27,643",300,22,34,(2.0%),"$27,643"
7,0DPR16,ANTINORA\THO MAS J JR,"ROCHESTER, NY",84,14,58,222.2%,244.4%,41.8%,"$56,679",14,18,"$11,136",107,14,18,4.7%,"$11,136"
8,0DPR21,MATHISKKIMIAG ENCY INC,"LEROY, NY",8,0,2,(33.3%),66.7%,0.0%,"$1,611",2,3,"$2,649",17,2,3,9.5%,"$2,649"
9,0DPR25,HAWSEY & ASSOCIATES INC,"MADISON, MS",463,45,63,125.0%,92.9%,73.4%,"$107,944",25,28,"$36,139",205,25,28,0.4%,"$36,139"
10,0DPR26,HARLAN ROSSMANN AGENCY,"GOLDEN VALLEY, MN",0,0,0,0.0%, , ,$0,0,0,$0,15,0,0, ,$0
11,0DPR27,MEINERSILANC E INS AGENCY,"AVON LAKE, OH",155,28,52,52.9%,88.2%,(22.0%),"$41,836",23,34,"$27,799",196,23,34,56.7%,"$27,799"
12,0DPR29,MCGLOTHIN INS AND CO,"DUBLIN, OH",391,7,7,16.7%,16.7%,0.0%,"$8,877",6,6,"$6,098",432,6,6,0.0%,"$6,098"
13,ODPR30,SCROGGSIGER ALDVINS LLC,"GREENVILLE, SC",399,68,118,81.5%,89.2%,61.3%,"$154,800",55,65,"$91,800",278,55,65,40.8%,"$91,800"
14,ODPR46,STANLEY INS GROUP LLC,"HILLIARD, OH",613,46,111,42.3%,85.9%,163.6%,"$100,422",54,78,"$64,375",480,54,78,32.0%,"$64,375"
15,0DPR65,MCAFEE INS AGENCY LLC,"NEWARK, DE",577,45,93,45.3%,81.3%,87.9%,"$112,070",70,64,"$90,498",694,70,64,47.9%,"$90,498"
16,ODPR80,KARI BALL INS AGENCY,"MOUNT VERNON, OH",0,0,4,(20.0%),80.0%,0.0%,"$2,749",0,5,"$6,561",18,0,5,0.0%,"$6,561"
17,0DPR85,ROBERT JACKSON AGCY\THE,"COLUMBUS, OH",235,19,31,138.5%,92.3%,0.3%,"$31,576",15,13,"$11,439",151,15,13,0.0%,"$11,439"
18,0DPR91,LUCZKOWSKI INS AGNCY INC,"CHESTERLAND, OH",17,0,6,(14.3%),85.7%,99.9%,"$7,793",1,7,"$6,968",35,1,7,995.3%,"$6,968"
19,0DPR92,MEQUELL GREEN INSURANCE,"GLEN ALLEN, VA",118,17,23,155.6%,66.7%,3.8%,"$18,354",3,9,"$5,550",37,3,9,0.0%,"$5,550"
20,0DPR95,GAFFNEY INSURANCE AGENCY,"GALLATIN, TN",380,42,67,148.1%,100.0%,75.2%,"$85,105",27,27,"$30,885",302,27,27,171.8%,"$30,885"
21,0DPS06,SOLIMAN INS AND FNCL,"GLENDALE, AZ",923,56,94,100.0%,95.7%,176.2%,"$124,536",28,47,"$54,557",481,28,47,57.0%,"$54,557"
22,Sub-Code,Details Report, , , , , ,Page,5 of 10, , , , , , ,Printed on,01/07/2022,02:40 PM
