, , , , , ,Current,Year-to-Date, ,Results, ,Prior,Year-to-Date,Results, ,Prior,Year-end,Results, 
1,Sub-Code,Agency Name,Agency Location,Quotes,BNB,Policies in Force,PIF Growth,Retention,Loss Ratio,Written Premium,BNB,Policies in Force,Written Premium,Quotes,BNB,Policies in Force,Loss Ratio,Written Premium
2,ODRT13,CRISMORE AGENCY LLCITHE,"KIRKWOOD, MO",23,10,10,0.0%, ,0.0%,"$13,867",0,0,$0,0,0,0, ,$0
3,ODRT88,HOFFMANITOD DIAGENCY LLC,"CUMMING, GA",18,6,6,0.0%, ,0.0%,"$8,769",0,0,$0,0,0,0, ,$0
4,0EH155,LACY WEST- THOMAS AGENCY,ELIZABETHTOWN NC,33,1,20,(25.9%),70.4%,41.7%,"$30,843",1,27,"$49,310",27,1,27,54.4%,"$49,310"
5,OHU320,PANICHELLE FINANCIAL GRP,"LATROBE, PA",273,41,519,(5.3%),88.0%,18.8%,"$507,442",26,548,"$547,427",290,26,548,18.0%,"$547,427"
6,OMF672,POLICY SOURCE LLC\THE,"CEDAR PARK, TX",1,1,1,0.0%, ,0.0%,$165,0,0,"$1,636",0,0,0,681.3%,"$1,636"
7,0MQ072,PANICHELLE FINANCIAL GRP,"LATROBE, PA",1,1,3,50.0%,100.0%,0.0%,"$4,869",0,2,"$2,962",1,0,2,44.4%,"$2,962"
8,ONH737,JONESITOM\INS URANCE,"TUSCUMBIA, AL",1,0,0,0.0%, , ,$0,0,0,$0,0,0,0, ,$0
9,OPL268,MARIETTA INSURANCE SERV,"CANTON, GA",891,302,882,26.4%,86.8%,55.9%,"$1,433,42",225,698,"$1,098,62",897,225,698,50.4%,"$1,098,62"
10,OTG613,C QUICK INS AGENCY INC,"WASHINGTONVIL LE, NY",94,16,167,(11.6%),82.0%,65.5%,"$293,788",18,189,"$317,507",175,18,189,37.7%,"$317,507"
11,OWK660,JONES\TOM\INS URANCE,"TUSCUMBIA, AL",59,14,347,375.3%,460.3%,22.6%,"$465,364",0,73,"$119,197",20,0,73,34.7%,"$119,197"
12,OWK661,JONESITOM\INS URANCE,"TUSCUMBIA, AL",118,27,18,(95.0%),0.3%,31.8%,"$94,657",26,363,"$565,592",270,26,363,42.3%,"$565,592"
13,Total, , ,"84,955","9,405","18,025",64.2%,87.2%,55.0%,"$26,204,3","4,914","10,979","$15,948,2","52,457","4,914","10,979",54.7%,"$15,948,2"
